0 0,0 0,0 0,0 0,0 2,1e-06 0,004933 0,0399 0,1157 0,2596
1 0,0 0,0 0,0 0,0 0,000188 0,01284 0,0718 0,1783 0,3635
2 0,0 0,0 0,0 0,0 0,001304 0,0279 0,1188 0,2598 0,4919
3 0,0 0,0 0,0 0,000488 0,004558 0,0533 0,1833 0,3635 0,6517
4 0,0 0,0 5,254e-05 0,002276 0,01157 0,0921 0,2689 0,4967 0,8548
5 0,0 9,445e-05 0,0005408 0,006575 0,02436 0,148 0,3836 0,6745 1,118
6 0,00010976 0,0004241 0,001915 0,014592 0,04512 0,2275 0,5434 0,9179 1,465
7 0,00030882 0,001103 0,004548 0,02771 0,07684 0,343 0,7707 1,251 1,917
8 0,00065619 0,002258 0,008903 0,04808 0,1248 0,5137 1,092 1,703 2,503
9 0,001213 0,004097 0,01582 0,07958 0,1984 0,764 1,537 2,302 3,249
10 0,0021063 0,007039 0,02685 0,1284 0,3109 1,12 2,133 3,073 4,181
11 0,0035291 0,01167 0,04406 0,2031 0,478 1,607 2,905 4,042 5,318
12 0,0057051 0,01872 0,0701 0,3134 0,7163 2,247 3,875 5,225 6,673
13 0,0089183 0,02907 0,1082 0,4696 1,04 3,056 5,055 6,627 8,241
14 0,013517 0,04378 0,1618 0,6809 1,461 4,042 6,438 8,226 9,997
15 0,019793 0,06367 0,2338 0,9517 1,981 5,192 7,989 9,977 11,89
16 0,027938 0,08935 0,3256 1,281 2,594 6,474 9,65 11,81 13,89
17 0,037957 0,1205 0,4356 1,661 3,284 7,836 11,34 13,67 15,93
18 0,049558 0,1563 0,5607 2,082 4,023 9,214 13,01 15,51 18,08
19 0,062291 0,1953 0,6961 2,524 4,779 10,55 14,63 17,39 20,45
20 0,075753 0,2364 0,8373 2,967 5,517 11,82 16,25 19,49 23,27
21 0,089194 0,2768 0,975 3,389 6,21 13,03 18,04 22,02 26,81
22 0,1019 0,3152 1,105 3,779 6,846 14,29 20,21 25,22 31,33
23 0,1136 0,3501 1,223 4,129 7,432 15,73 22,98 29,37 37,23
24 0,124 0,381 1,327 4,444 8,01 17,54 26,58 34,78 45,09
25 0,1329 0,4076 1,419 4,747 8,652 19,87 31,31 41,95 55,8
26 0,1409 0,4318 1,504 5,079 9,452 22,96 37,67 51,72 70,71
27 0,1486 0,456 1,596 5,498 10,52 27,08 46,3 65,17 92,14
28 0,1579 0,4863 1,714 6,075 11,96 32,66 58,24 84,48 124,0
29 0,171 0,5284 1,879 6,875 13,92 40,39 75,45 113,2 172,1
30 0,1896 0,5887 2,113 7,952 16,57 51,39 101,3 157,7 245,9
31 0,2162 0,6732 2,431 9,421 20,24 67,7 141,4 227,3 357,0
32 0,2512 0,7847 2,858 11,45 25,57 92,73 204,9 335,3 519,3
33 0,3017 0,9447 3,464 14,41 33,52 132,2 304,3 496,4 747,0
34 0,3732 1,171 4,334 18,87 45,81 195,0 454,1 724,1 1048,0
35 0,4795 1,513 5,663 25,76 65,21 292,5 666,6 1027,0 1426,0
36 0,6455 2,048 7,723 36,6 95,98 435,4 948,5 1407,0 1873,0
37 0,8984 2,871 10,93 53,79 143,7 630,5 1299,0 1852,0 2372,0
38 1,297 4,162 15,99 80,41 214,3 878,2 1705,0 2339,0 2897,0
39 1,917 6,177 23,86 119,9 311,5 1172,0 2145,0 2843,0 3412,0
40 2,856 9,181 35,47 174,8 435,3 1494,0 2587,0 3323,0 3887,0
41 4,211 13,47 51,78 245,0 580,9 1824,0 3004,0 3752,0 4303,0
42 6,038 19,14 72,76 327,4 739,9 2134,0 3362,0 4102,0 4618,0
43 8,285 26,0 97,51 416,9 899,0 2403,0 3638,0 4352,0 4835,0
44 10,82 33,59 124,3 506,3 1045,0 2616,0 3825,0 4499,0 4940,0
45 13,48 41,42 151,2 587,7 1169,0 2756,0 3915,0 4540,0 4945,0
46 16,04 48,81 175,8 655,4 1263,0 2823,0 3915,0 4540,0 4945,0
47 18,24 54,98 195,8 705,7 1320,0 2823,0 3915,0 4540,0 4945,0
48 20,01 59,82 210,8 735,5 1340,0 2823,0 3915,0 4540,0 4945,0
49 21,2 63,03 219,8 744,0 1340,0 2823,0 3915,0 4540,0 4945,0
