Source_Name,RAJ2000,DEJ2000,GLON,GLAT,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_68_PosAng,Conf_95_SemiMajor,Conf_95_SemiMinor,Conf_95_PosAng,ROI_num,Signif_Avg,Pivot_Energy,Flux_Density,Unc_Flux_Density,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,Signif_Curve,SpectrumType,Spectral_Index,Unc_Spectral_Index,beta,Unc_beta,Cutoff,Unc_Cutoff,Exp_Index,Unc_Exp_Index,PowerLaw_Index,Flux100_300,nuFnu100_300,Sqrt_TS100_300,Flux300_1000,nuFnu300_1000,Sqrt_TS300_1000,Flux1000_3000,nuFnu1000_3000,Sqrt_TS1000_3000,Flux3000_10000,nuFnu3000_10000,Sqrt_TS3000_10000,Flux10000_100000,nuFnu10000_100000,Sqrt_TS10000_100000,Variability_Index,Signif_Peak,Flux_Peak,Unc_Flux_Peak,Time_Peak,Peak_Interval,Extended_Source_Name,0FGL_Name,1FGL_Name,2FGL_Name,1FHL_Name,ASSOC_GAM1,ASSOC_GAM2,ASSOC_GAM3,TEVCAT_FLAG,ASSOC_TEV,CLASS1,ASSOC1,ASSOC2,Flags,CLASS,AGN,Blazar
3FGL J0000.1+6545,0.0377,65.7517,117.694,3.40296,0.0628445,0.0481047,41.03,0.1019,0.078,41.03,185,6.81313,1159.08,1.00534E-12,1.49106E-13,1.01596E-09,1.57592E-10,1.35695E-11,2.07317E-12,3.39662,PowerLaw,2.41096,0.0823208,-INF,-INF,-INF,-INF,-INF,-INF,2.41096,1.80832E-08,4.17529E-12,2.16875,6.94073E-09,4.54365E-12,5.26971,1.23665E-09,2.85534E-12,6.02224,5.78052E-11,3.78413E-13,1.50919,2.83963E-11,4.3172E-13,2.42117,40.7535,-INF,-INF,-INF,-INF,-INF,,,,2FGL J2359.6+6543c,,,,,N,,,,,4,,,
3FGL J0000.2-3738,0.0612,-37.6484,345.411,-74.9468,0.0450828,0.0416908,-88.55,0.0731,0.0676,-88.55,589,5.09129,3296.33,1.94198E-14,5.14746E-15,2.03866E-10,5.42253E-11,2.4051E-12,6.70439E-13,1.49646,PowerLaw,1.86673,0.179395,-INF,-INF,-INF,-INF,-INF,-INF,1.86673,9.87665E-11,2.40485E-14,0,1.34249E-10,9.36374E-14,0.554082,1.4509E-10,3.53278E-13,2.94116,7.45239E-11,5.19798E-13,4.1535,1.59073E-11,2.99165E-13,3.46909,44.8453,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,,,,0,,,
3FGL J0001.0+6314,0.2535,63.244,117.293,0.925701,0.15264,0.098553,-65.32,0.2475,0.1598,-65.32,233,6.16392,472.156,8.62467E-12,1.23011E-12,6.40368E-10,1.29086E-10,1.30285E-11,1.88592E-12,0.256419,PowerLaw,2.73279,0.107547,-INF,-INF,-INF,-INF,-INF,-INF,2.73279,2.91303E-08,6.52641E-12,3.97359,4.65079E-09,2.93786E-12,4.25003,3.02088E-10,6.76803E-13,1.74754,1.15866E-10,7.31914E-13,3.27476,2.02196E-12,2.76184E-14,0.361819,53.0479,-INF,-INF,-INF,-INF,-INF,,,,2FGL J2358.9+6325,,,,,N,,spp,,,28,spp,non-AGN,non-Blazar
3FGL J0001.2-0748,0.3209,-7.8159,89.0222,-67.3242,0.050325,0.0429242,-19.47,0.0816,0.0696,-19.47,323,11.2532,1263.84,4.85389E-13,5.70038E-14,6.95219E-10,8.96015E-11,7.81771E-12,9.45573E-13,1.90024,PowerLaw,2.14935,0.0867803,-INF,-INF,-INF,-INF,-INF,-INF,2.14935,4.08694E-09,9.6779E-13,1.6303,2.08357E-09,1.40566E-12,5.26586,5.2233E-10,1.23688E-12,6.99718,2.10689E-10,1.42139E-12,8.01772,1.00563E-11,1.68628E-13,1.57441,49.7382,-INF,-INF,-INF,-INF,-INF,,,1FGL J0000.9-0745,2FGL J0000.9-0748,,,,,N,,bll,PMN J0001-0746,,0,bll,AGN,bll
3FGL J0001.4+2120,0.3612,21.3379,107.665,-40.0472,0.129821,0.116191,-32.55,0.2105,0.1884,-32.55,326,11.35,310.682,2.5221E-11,2.79714E-12,2.94487E-10,7.57546E-11,8.06508E-12,8.37897E-13,4.41358,LogParabola,2.30511,0.180119,0.519145,0.155084,-INF,-INF,-INF,-INF,2.77745,1.52391E-08,3.77326E-12,6.78771,3.63964E-09,2.25995E-12,7.59118,3.56521E-10,7.15262E-13,4.51685,8.41389E-15,4.39248E-17,0,1.03554E-14,9.59452E-17,0,130.336,8.24834,1.15934E-07,1.85747E-08,3.01135E+08,2.63E+06,,,,,,,3EG J2359+2041,,N,,fsrq,TXS 2358+209,,0,fsrq,AGN,fsrq
3FGL J0001.6+3535,0.4043,35.5905,111.661,-26.1885,0.131178,0.103117,8.3,0.2127,0.1672,8.3,282,4.19956,1104.26,2.87282E-13,6.61687E-14,2.6812E-10,6.93039E-11,3.38575E-12,7.92219E-13,0.146794,PowerLaw,2.35052,0.185889,-INF,-INF,-INF,-INF,-INF,-INF,2.35052,9.51111E-09,2.20879E-12,3.60211,3.83922E-10,2.53063E-13,0.895384,1.74846E-10,4.0605E-13,2.46144,4.02146E-11,2.65076E-13,2.03759,2.2558E-11,3.50524E-13,2.29224,32.3943,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,,,,8,,,
3FGL J0002.0-6722,0.524,-67.3703,310.139,-49.0618,0.0626595,0.0529769,69.46,0.1016,0.0859,69.46,575,5.88876,2466.72,4.82968E-14,1.05025E-14,2.92117E-10,6.36624E-11,3.31503E-12,7.6072E-13,1.3687,PowerLaw,1.94606,0.158511,-INF,-INF,-INF,-INF,-INF,-INF,1.94606,5.39966E-10,1.30446E-13,0.193791,6.48755E-10,4.48261E-13,2.0394,2.03325E-10,4.91196E-13,3.44514,8.25954E-11,5.70697E-13,4.7738,2.76824E-11,5.03735E-13,3.0557,46.125,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,,,,0,,,
3FGL J0002.2-4152,0.5621,-41.8828,334.07,-72.1427,0.133706,0.0860335,68.13,0.2168,0.1395,68.13,589,5.15841,1956.04,7.32396E-14,1.61888E-14,2.71403E-10,6.10046E-11,3.01827E-12,6.71225E-13,0.200273,PowerLaw,2.08892,0.18958,-INF,-INF,-INF,-INF,-INF,-INF,2.08892,5.31076E-09,1.26505E-12,2.47492,5.65955E-10,3.84521E-13,2.06046,8.52914E-11,2.03168E-13,1.5133,9.76305E-11,6.63321E-13,4.73487,2.59036E-11,4.44844E-13,2.58406,56.3511,-INF,-INF,-INF,-INF,-INF,,,1FGL J0001.9-4158,2FGL J0001.7-4159,,,,,N,,bcu,1RXS J000135.5-415519,,0,bcu,AGN,bcu
3FGL J0002.6+6218,0.6745,62.3006,117.302,-0.0371162,0.0374353,0.0332416,-55.45,0.0607,0.0539,-55.45,233,17.9719,1011.57,4.30331E-12,3.30359E-13,2.84488E-09,2.10839E-10,1.83838E-11,1.71746E-12,7.24275,LogParabola,2.08626,0.11109,0.450062,0.0923919,-INF,-INF,-INF,-INF,2.34749,1.05463E-08,2.93906E-12,2.59389,7.95137E-09,5.77129E-12,9.40642,2.4424E-09,5.55503E-12,13.3352,3.58366E-10,2.07536E-12,7.39369,4.08871E-15,3.78829E-17,0,48.0235,-INF,-INF,-INF,-INF,-INF,,,,2FGL J0002.7+6220,,,,,N,,,,,0,,,
3FGL J0003.2-5246,0.8152,-52.7771,318.976,-62.8247,0.0429859,0.0377437,-44.41,0.0697,0.0612,-44.41,748,5.66956,3676.23,1.99877E-14,4.95836E-15,2.59037E-10,6.53159E-11,3.00716E-12,7.58529E-13,0.908963,PowerLaw,1.89521,0.174029,-INF,-INF,-INF,-INF,-INF,-INF,1.89521,6.58034E-09,1.59771E-12,1.75027,8.26681E-13,5.74655E-16,0,1.83929E-10,4.46582E-13,3.07863,7.93666E-11,5.51705E-13,3.73797,2.97741E-11,5.53335E-13,4.51014,45.2804,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,bcu,RBS 0006,,0,bcu,AGN,bcu
3FGL J0003.4+3100,0.8576,31.0085,110.964,-30.7451,0.111689,0.10028,12.78,0.1811,0.1626,12.78,421,6.29548,572.56,2.02711E-12,3.20165E-13,3.13931E-10,6.98302E-11,4.94298E-12,7.82939E-13,1.30995,PowerLaw,2.55384,0.1309,-INF,-INF,-INF,-INF,-INF,-INF,2.55384,8.62816E-09,1.96543E-12,3.43038,1.45144E-09,9.35042E-13,3.56024,3.57928E-10,8.15336E-13,4.8789,1.99625E-11,1.28601E-13,1.05459,1.34328E-12,1.94365E-14,0.0996998,38.536,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,,,,0,,,
3FGL J0003.5+5721,0.8903,57.3597,116.486,-4.9116,0.054642,0.0445894,1.03,0.0886,0.0723,1.03,114,5.38063,2119.94,1.08643E-13,2.22222E-14,4.71647E-10,9.65475E-11,5.36318E-12,1.11666E-12,1.82055,PowerLaw,2.18306,0.1258,-INF,-INF,-INF,-INF,-INF,-INF,2.18306,1.82474E-12,4.3068E-16,0,2.31644E-09,1.55663E-12,3.51048,4.86363E-10,1.14793E-12,4.00913,9.22352E-11,6.19816E-13,3.34511,2.40953E-11,3.98773E-13,3.01371,31.1214,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,,,,0,,,
3FGL J0003.8-1151,0.9588,-11.8627,84.4319,-71.0842,0.0801129,0.0617961,-16.73,0.1299,0.1002,-16.73,647,4.18144,2315.88,4.41518E-14,1.19224E-14,2.33899E-10,6.32703E-11,2.6042E-12,7.10251E-13,1.7895,PowerLaw,2.02352,0.175589,-INF,-INF,-INF,-INF,-INF,-INF,2.02352,5.9773E-11,1.433E-14,0,5.26583E-10,3.60531E-13,1.53667,2.31295E-10,5.5451E-13,3.79252,4.6611E-11,3.19128E-13,2.46512,1.77229E-11,3.12454E-13,2.5407,48.4916,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,bcu,PMN J0004-1148,,0,bcu,AGN,bcu
3FGL J0004.2+6757,1.0551,67.9593,118.509,5.494,0.0625978,0.0552588,-70.28,0.1015,0.0896,-70.28,185,6.00581,1328.36,6.01393E-13,1.00891E-13,8.15867E-10,1.39866E-10,1.19707E-11,2.20208E-12,3.91204,PowerLaw,2.49684,0.0938616,-INF,-INF,-INF,-INF,-INF,-INF,2.49684,5.90662E-09,1.35273E-12,0.49799,5.63709E-09,3.65469E-12,4.41385,5.91517E-10,1.35469E-12,3.44707,1.15244E-10,7.47162E-13,3.22733,9.11887E-12,1.34527E-13,1.43081,34.8146,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,,,,25,,,
