id,Fermi_name,Counterpart_name,Bzcat5_name,Optical_Class,RA_J2000,Dec_J2000,Redshift,SED_Class,LogSyncZ,Probability_Bayesian,Reliability_LR_RG,Reliability_LR_XG,Significance,Flux_1to100GeV,Spectral_Index,Spectral_Type,Power_Law_Index,Radio_flux),X_Flux,USNOVmag,SDSSVmag,CLEAN
1,3FGL J0001.2-0748,PMN J0001-0746,5BZBJ0001-0746,bll,00 01 18.02,-07 46 26.92,0.0,ISP,14.485999999999999,1.0,0.86,0.0,11.25,6.952189900000001e-10,2.1493,PowerLaw,2.15,209.1692,8.100000000000001e-13,17.6118,17.21,Y
3,3FGL J0002.2-4152,1RXS J000135.5-415519,, bcu II,00 01 32.73,-41 55 25.2,-999.0,HSP,15.8,0.97,0.0,0.0,5.16,2.7140307000000004e-10,2.0889,PowerLaw,2.09,13.2,0.0,18.4274,0.0,Y
4,3FGL J0003.2-5246,RBS 0006,, bcu II,00 03 19.48,-52 47 27.7,0.0,HSP,16.85,1.0,0.0,0.9,5.67,2.5903737000000004e-10,1.8952,PowerLaw,1.9,65.3,4.85e-12,18.8131,0.0,Y
5,3FGL J0003.8-1151,PMN J0004-1148,5BZBJ0004-1148,bcu II,00 04 04.91,-11 48 58.38,0.0,LSP,12.515,0.99,0.87,0.0,4.18,2.3389926e-10,2.0235,PowerLaw,2.02,459.597,0.0,18.575,0.0,N
7,3FGL J0004.7-4740,PKS 0002-478,5BZQJ0004-4736,fsrq,00 04 35.65,-47 36 19.6,0.88,LSP,13.419,0.99,0.93,0.0,14.52,6.9288186e-10,2.4035,PowerLaw,2.4,932.9,1.49e-12,17.2964,0.0,Y
8,3FGL J0006.4+3825,S4 0003+38,5BZQJ0005+3820,fsrq,00 05 57.17,+38 20 15.14,0.22899999999999998,LSP,13.235,0.99,0.84,0.0,10.55,6.0568678e-10,2.6171,PowerLaw,2.62,572.7561,0.0,17.7239,0.0,Y
10,3FGL J0008.6-2340,RBS 0016,5BZBJ0008-2339,bll,00 08 35.39,-23 39 28.0,0.147,ISP,14.78,1.0,0.0,0.89,6.66,2.284548e-10,1.5989,PowerLaw,1.6,36.2558,4.71e-12,16.6408,0.0,Y
11,3FGL J0009.1+0630,CRATES J000903.95+062821.5,5BZBJ0009+0628,bll,00 09 03.93,+06 28 21.23,0.0,LSP,13.44,0.99,0.87,0.8,8.97,5.4901528e-10,2.1794,PowerLaw,2.18,247.0644,1.3000000000000001e-12,18.7042,18.11,N
12,3FGL J0009.1+0630,GB6 J0009+0625,5BZQJ0009+0625,bll,00 09 17.05,+06 25 54.74,0.0,ISP,14.822000000000001,0.93,0.0,0.0,8.97,5.4901528e-10,2.1794,PowerLaw,2.18,180.0831,0.0,19.4921,19.2,N
13,3FGL J0009.3+5030,NVSS J000922+503028,5BZBJ0009+5030,bll,00 09 22.76,+50 30 28.83,0.0,HSP,15.15,1.0,0.85,0.0,36.49,3.0936393e-09,1.9286,PowerLaw,1.93,12.2673,0.0,0.0,0.0,Y
14,3FGL J0009.6-3211,IC 1531,, bcu I,00 09 35.55,-32 16 36.92,0.025,ISP,14.655999999999999,0.96,0.85,0.0,5.54,2.7656773999999997e-10,2.3097,PowerLaw,2.31,388.8466,5.01e-13,8.91,0.0,N
15,3FGL J0013.2-3954,PKS 0010-401,5BZBJ0012-3954,bll,00 12 59.9,-39 54 26.05,0.0,LSP,12.27,1.0,0.92,0.0,12.02,6.067581400000001e-10,2.2118,PowerLaw,2.21,494.6114,0.0,18.09,0.0,Y
16,3FGL J0013.9-1853,RBS 0030,5BZGJ0013-1854,bll,00 13 56.04,-18 54 06.69,0.0944,HSP,16.76,1.0,0.0,0.94,5.58,2.3734373e-10,1.9352,PowerLaw,1.94,29.6284,1.26e-11,12.946,0.0,Y
17,3FGL J0014.0-5025,RBS 0032,5BZBJ0014-5022,bll,00 14 11.21,-50 22 32.69,0.0,HSP,16.925,1.0,0.0,0.91,5.65,2.4451646e-10,1.9239,PowerLaw,1.92,15.1,1.23e-11,19.0598,0.0,Y
19,3FGL J0017.2-0643,PMN J0017-0650,, bcu II,00 17 09.39,-06 50 34.95,0.0,LSP,13.67,0.81,0.0,0.0,6.22,3.8799491e-10,2.1162,PowerLaw,2.12,93.9766,0.0,18.6043,18.31,Y
20,3FGL J0017.6-0512,PMN J0017-0512,5BZQJ0017-0512,fsrq,00 17 35.81,-05 12 41.76,0.22699999999999998,LSP,13.689,1.0,0.88,0.84,12.0,7.9522233e-10,2.5063,PowerLaw,2.51,178.4389,1.74e-12,18.0884,17.02,Y
21,3FGL J0018.4+2947,RBS 0042,5BZBJ0018+2947,bll,00 18 27.78,+29 47 31.16,0.1,HSP,16.813,1.0,0.0,0.93,4.96,2.1357462000000002e-10,1.8645,PowerLaw,1.86,33.804,1.43e-11,17.4709,18.04,Y
22,3FGL J0018.9-8152,PMN J0019-8152,5BZBJ0019-8152,bll,00 19 20.64,-81 52 51.41,0.0,HSP,15.144,1.0,0.82,0.91,10.65,6.5296818e-10,2.0754,PowerLaw,2.08,87.0,4.9899999999999995e-12,16.3476,0.0,Y
23,3FGL J0019.1-5645,PMN J0019-5641,, bcu II,00 19 26.61,-56 41 42.45,0.0,LSP,12.83,0.99,0.0,0.0,6.8,2.8565708e-10,2.3909,PowerLaw,2.39,60.6,0.0,21.3089,0.0,Y
24,3FGL J0019.4+2021,PKS 0017+200,5BZBJ0019+2021,bll,00 19 37.85,+20 21 45.64,0.0,LSP,12.32,0.99,0.92,0.0,5.04,2.9451058e-10,2.2486,PowerLaw,2.25,983.9924,0.0,19.899,19.16,Y
25,3FGL J0021.6-2553,CRATES J002132.55-255049.3,5BZBJ0021-2550,bll,00 21 32.54,-25 50 49.38,0.0,ISP,14.527999999999999,0.99,0.0,0.0,11.57,5.9683669e-10,2.0993,PowerLaw,2.1,69.0158,0.0,17.2214,0.0,Y
26,3FGL J0021.6-6835,PKS 0021-686,, bcu II,00 24 06.72,-68 20 54.59,0.0,LSP,13.44,0.95,0.85,0.0,5.37,2.1162896000000002e-10,2.6525,PowerLaw,2.65,1248.0,2.17e-12,16.4931,0.0,N
27,3FGL J0022.1-1855,1RXS J002209.2-185333,5BZBJ0022-1853,bll,00 22 09.26,-18 53 34.86,0.0,HSP,15.13,0.99,0.0,0.83,16.69,9.011055800000001e-10,1.7990000000000002,PowerLaw,1.8,22.5263,1.09e-12,17.4473,0.0,Y
