 Name Best_Fit Time Main_Fluence Compton_E0 Compton_alpha Band_E0 Band_alpha Band_beta Log_b Log_Ep Add_Fluence Plaw_alpha Plaw_Cut Main_Fluence_err Compton_E0_err Compton_alpha_err Band_E0_err Band_alpha_err Band_beta_err Log_b_err Log_Ep_err Add_Fluence_err Plaw_alpha_err Plaw_Cut_err
0 GRB080916 Band+Plaw 60,5 9,349780670573119e-05 0,0 0,0 2,6e-07 -0,65 -2,2 0,0 0,0 1,1921282430437022e-05 2,0 0,0 7,489810951059909e-07 0,0 0,0 2,2000000000000002e-08 0,06 0,04 0,0 0,0 6,678414764695086e-06 0,12 0,0
1 GRB090902 Comptonized+Plaw 17,3 0,00019080293397825122 5,310000000000001e-07 0,62 0,0 0,0 0,0 0,0 0,0 6,28519968976444e-05 1,94 0,0 1,5603772814708146e-06 1e-08 0,01 0,0 0,0 0,0 0,0 0,0 3,682490384271122e-06 0,01 0,0
2 GRB090926 Band+Plaw*Cut 12,6 7,964165644627037e-05 0,0 0,0 1,8800000000000002e-07 -0,64 -2,63 0,0 0,0 3,389139455354609e-05 1,76 0,001513 2,808679106647466e-06 0,0 0,0 7,000000000000001e-09 0,03 0,06 0,0 0,0 2,6214338328709683e-06 0,03 0,0006169999999999999
3 GRB110721 LogParabola 24,9 6,497411000044471e-05 0,0 0,0 0,0 0,0 0,0 0,28 1,847e-06 0,0 0,0 0,0 1,9348678290238096e-06 0,0 0,0 0,0 0,0 0,0 0,01 1,14e-07 0,0 0,0 0,0
4 GRB090510 Band+Plaw 0,3 1,641516900107297e-05 0,0 0,0 2,734e-06 -0,67 -3,04 0,0 0,0 5,554943122036099e-06 1,6 0,0 9,362263688824887e-07 0,0 0,0 2,61e-07 0,05 0,03 0,0 0,0 1,1234716426589863e-06 0,05 0,0
5 GRB091003 Band 18,0 2,8523696705286488e-05 0,0 0,0 4,25e-07 -1,02 -2,65 0,0 0,0 0,0 0,0 0,0 9,362263688824887e-07 0,0 0,0 1,9e-08 0,01 0,07 0,0 0,0 0,0 0,0 0,0
6 GRB080825 Band 20,2 2,234460267066206e-05 0,0 0,0 1,2600000000000002e-07 -0,65 -2,43 0,0 0,0 0,0 0,0 0,0 1,1234716426589863e-06 0,0 0,0 5e-09 0,02 0,05 0,0 0,0 0,0 0,0 0,0
7 GRB81006 LogParabola 5,2 2,8710941979062985e-06 0,0 0,0 0,0 0,0 0,0 0,25 5,7560000000000005e-06 0,0 0,0 0,0 6,865660038471584e-07 0,0 0,0 0,0 0,0 0,0 0,05 2,3090000000000003e-06 0,0 0,0 0,0
8 GRB090217 Band 28,7 3,120754562941629e-05 0,0 0,0 5,26e-07 -0,88 -2,57 0,0 0,0 0,0 0,0 0,0 9,986414601413212e-07 0,0 0,0 3,2e-08 0,02 0,05 0,0 0,0 0,0 0,0 0,0
9 GRB090323 Band 51,6 9,31233161581782e-05 0,0 0,0 4,3600000000000004e-07 -1,01 -2,69 0,0 0,0 0,0 0,0 0,0 2,7462640153886334e-06 0,0 0,0 2,1000000000000003e-08 0,01 0,07 0,0 0,0 0,0 0,0 0,0
10 GRB100116 Band 18,6 4,1193960230829505e-05 0,0 0,0 1,117e-06 -1,08 -2,8 0,0 0,0 0,0 0,0 0,0 2,4966036503533032e-06 0,0 0,0 1,6300000000000002e-07 0,03 0,1 0,0 0,0 0,0 0,0 0,0
11 GRB100414 Band 12,8 4,94327522769954e-05 0,0 0,0 4,01e-07 -0,63 -2,68 0,0 0,0 0,0 0,0 0,0 2,559018741612136e-06 0,0 0,0 1,6e-08 0,02 0,1 0,0 0,0 0,0 0,0 0,0
12 GRB110731 Band+Plaw 4,8 2,0222489567861755e-05 0,0 0,0 1,4400000000000002e-07 0,05 -2,41 0,0 0,0 4,681131844412443e-06 2,0 0,0 2,7462640153886334e-06 0,0 0,0 1,8000000000000002e-08 0,14 0,11 0,0 0,0 1,9972829202826424e-06 0,08 0,0
